
Year,   Mkt-RF,   SMB,   HML,   RF
  1927,   29.47,   -2.46,   -3.75,    3.12
  1928,   35.39,    4.41,   -5.83,    3.56
  1929,  -19.54,  -30.78,   11.96,    4.75
  1930,  -31.23,   -5.19,  -12.29,    2.41
  1931,  -45.11,    3.51,  -14.32,    1.07
  1932,   -9.39,    4.91,   10.49,    0.96
  1933,   57.05,   48.86,   28.15,    0.30
  1934,    3.02,   25.43,  -27.38,    0.16
  1935,   44.96,    9.99,    9.78,    0.17
  1936,   32.07,   17.89,   35.86,    0.18
  1937,  -34.96,  -14.00,   -3.97,    0.31
  1938,   28.48,    9.35,  -12.18,   -0.02
  1939,    2.70,    5.85,  -19.17,    0.02
  1940,   -7.14,    0.79,   -0.82,    0.00
  1941,  -10.53,   -4.04,   11.13,    0.06
  1942,   16.20,    5.05,   19.87,    0.27
  1943,   27.96,   33.35,   38.97,    0.35
  1944,   20.97,   17.98,   15.61,    0.33
  1945,   38.38,   25.56,   11.40,    0.33
  1946,   -6.73,   -3.79,    2.98,    0.35
  1947,    2.95,   -7.08,    9.76,    0.50
  1948,    1.07,   -9.14,    3.52,    0.81
  1949,   19.12,    3.93,   -4.55,    1.10
  1950,   28.82,    0.93,   27.01,    1.20
  1951,   19.22,   -4.93,   -5.93,    1.49
  1952,   11.80,   -6.66,    3.34,    1.66
  1953,   -1.05,   -1.16,   -7.71,    1.82
  1954,   49.35,   -2.18,   26.21,    0.86
  1955,   23.75,   -6.71,    5.77,    1.57
  1956,    5.90,   -1.17,   -1.60,    2.46
  1957,  -13.16,   -2.72,   -6.39,    3.14
  1958,   43.45,   14.81,   13.16,    1.54
  1959,    9.76,    5.43,    1.86,    2.95
  1960,   -1.46,   -2.76,   -4.87,    2.66
  1961,   24.81,    1.49,    5.19,    2.13
  1962,  -12.90,   -8.25,    8.80,    2.73
  1963,   17.84,   -5.88,   15.66,    3.12
  1964,   12.54,   -0.99,    9.86,    3.54
  1965,   10.52,   21.80,    7.36,    3.93
  1966,  -13.51,    2.59,   -0.68,    4.76
  1967,   24.49,   50.69,   -8.58,    4.21
  1968,    8.79,   24.50,   18.49,    5.21
  1969,  -17.54,  -13.98,   -9.81,    6.58
  1970,   -6.49,  -11.79,   22.34,    6.52
  1971,   11.78,    5.62,  -11.29,    4.39
  1972,   13.05,  -11.95,    1.75,    3.84
  1973,  -26.19,  -23.44,   18.08,    6.93
  1974,  -35.75,   -0.60,    9.67,    8.00
  1975,   32.44,   15.28,    9.49,    5.80
  1976,   21.91,   14.69,   24.50,    5.08
  1977,   -8.26,   22.95,    7.51,    5.12
  1978,    1.03,   14.38,    0.37,    7.18
  1979,   13.09,   21.12,   -2.12,   10.38
  1980,   22.13,    5.57,  -25.06,   11.24
  1981,  -18.13,    7.23,   25.01,   14.71
  1982,   10.66,    8.89,   13.59,   10.54
  1983,   13.74,   13.67,   20.85,    8.80
  1984,   -6.05,   -8.31,   19.63,    9.85
  1985,   24.91,    0.12,    1.35,    7.72
  1986,   10.12,   -9.60,    9.58,    6.16
  1987,   -3.87,  -11.00,   -1.64,    5.47
  1988,   11.55,    5.90,   14.77,    6.35
  1989,   20.49,  -12.80,   -4.35,    8.37
  1990,  -13.95,  -14.17,   -9.66,    7.81
  1991,   29.18,   16.14,  -14.67,    5.60
  1992,    6.23,    7.55,   24.62,    3.51
  1993,    8.21,    6.42,   16.99,    2.90
  1994,   -4.10,   -0.40,   -0.97,    3.90
  1995,   31.22,  -10.23,    6.59,    5.60
  1996,   15.96,   -4.29,    8.27,    5.21
  1997,   25.96,   -8.20,   19.35,    5.26
  1998,   19.46,  -25.62,   -9.64,    4.86
  1999,   20.57,   15.16,  -32.18,    4.68
  2000,  -17.60,   -5.37,   46.33,    5.89
  2001,  -15.20,   17.90,   19.14,    3.83
  2002,  -22.76,    3.88,    8.92,    1.65
  2003,   30.75,   26.11,    4.21,    1.02
  2004,   10.72,    4.12,    7.82,    1.20
  2005,    3.09,   -2.41,    9.44,    2.98
  2006,   10.60,    0.12,   11.95,    4.80
  2007,    1.04,   -6.98,  -17.08,    4.66
  2008,  -38.34,    2.65,    1.31,    1.60
  2009,   28.26,    9.46,   -9.18,    0.10
  2010,   17.37,   13.85,   -5.47,    0.12
  2011,    0.44,   -5.87,   -8.07,    0.04
  2012,   16.27,   -1.25,   10.01,    0.06
  2013,   35.20,    6.78,    2.54,    0.02
  2014,   11.71,   -7.95,   -1.54,    0.02
  2015,    0.08,   -3.92,   -9.73,    0.02
  2016,   13.30,    6.59,   22.42,    0.20
  2017,   21.51,   -4.90,  -13.70,    0.80
  2018,   -6.93,   -3.35,   -9.22,    1.81
  2019,   28.28,   -6.32,  -10.88,    2.14
